incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
907649447,C18044253,07/15/2018 08:00:32 PM,"112 - ASSAULT, SIMPLE","112 - ASSAULT, SIMPLE",,30500 Block SE MUD MOUNTAIN RD,,ENUMCLAW,WA,98022,,47.1505137,-121.9474973,02/21/2019 12:31:47 AM,02/21/2019 12:32:52 AM,POINT (-121.9474973 47.1505137),20,Sunday,Assault
907652401,C18031527,07/16/2018 02:40:39 AM,350 - BOMBING,350 - BOMBING,,17000 Block NE 160TH PL,,WOODINVILLE,WA,98072,,47.74496,-122.1120585,02/21/2019 01:23:46 AM,02/21/2019 01:24:47 AM,POINT (-122.1120585 47.74496),2,Monday,Other
901799644,C18031534,07/16/2018 08:37:43 AM,150 - SEXUAL OFFENDER REGISTRATION VIOLATION,150 - SEXUAL OFFENDER REGISTRATION VIOLATION,,1 Block S WASHINGTON ST,,SEATTLE,WA,98104,,47.6006697,-122.3352848,01/17/2019 06:55:19 PM,02/21/2019 12:17:40 AM,POINT (-122.3352848 47.6006697),8,Monday,Other Sexual Offense
907649790,C18031562,07/16/2018 10:40:00 AM,169 - CPS REFERRAL,169 - CPS REFERRAL,,11400 Block 164TH AVE SE,,RENTON,WA,98059,,47.499569,-122.1218251,02/21/2019 12:35:03 AM,02/21/2019 12:36:06 AM,POINT (-122.1218251 47.499569),10,Monday,Other
907652450,C18032953,07/16/2018 01:36:14 PM,"503 - CRIMINAL WARRANT, FELONY","503 - CRIMINAL WARRANT, FELONY",,400 Block 4TH AVE N,,KENT,WA,98032,,47.3847003,-122.2381664,02/21/2019 01:23:59 AM,02/21/2019 01:25:00 AM,POINT (-122.2381664 47.3847003),13,Monday,Other
907655665,C18037471,07/16/2018 02:24:57 PM,150 - SEXUAL OFFENDER REGISTRATION VIOLATION,150 - SEXUAL OFFENDER REGISTRATION VIOLATION,,1 Block AVE & JAMES ST,,SEATTLE,WA,98104,,47.602768,-122.3314095,02/21/2019 01:33:44 AM,02/21/2019 01:34:52 AM,POINT (-122.3314095 47.602768),14,Monday,Other Sexual Offense
901799648,C18032957,07/17/2018 10:02:46 AM,"503 - CRIMINAL WARRANT, FELONY","503 - CRIMINAL WARRANT, FELONY",,400 Block 4TH AVE N,,KENT,WA,98032,,47.3847003,-122.2381664,01/17/2019 06:55:19 PM,02/21/2019 12:17:40 AM,POINT (-122.2381664 47.3847003),10,Tuesday,Other
906077869,C19004839,01/01/2012 12:00:00 AM,146 - RAPE,146 - RAPE,,2000 Block S 360TH ST,,FEDERAL WAY,WA,98003,,47.2806583,-122.3076643,02/05/2019 07:44:28 PM,02/15/2019 09:10:40 PM,POINT (-122.3076643 47.2806583),0,Sunday,Sexual Assault
901799850,C18041091,07/18/2018 08:43:14 AM,150 - SEXUAL OFFENDER REGISTRATION VIOLATION,150 - SEXUAL OFFENDER REGISTRATION VIOLATION,,500 Block 3RD AVE,,SEATTLE,WA,98104,,47.6023952,-122.331355,01/17/2019 06:56:04 PM,02/21/2019 12:18:43 AM,POINT (-122.331355 47.6023952),8,Wednesday,Other Sexual Offense
901799628,C18041807,07/18/2018 08:43:18 AM,150 - SEXUAL OFFENDER REGISTRATION VIOLATION,150 - SEXUAL OFFENDER REGISTRATION VIOLATION,,500 Block 3RD AVE,,SEATTLE,WA,98104,,47.6023952,-122.331355,01/17/2019 06:55:19 PM,02/21/2019 12:17:45 AM,POINT (-122.331355 47.6023952),8,Wednesday,Other Sexual Offense
907655835,C18038231,07/18/2018 05:00:54 PM,150 - SEXUAL OFFENDER REGISTRATION VIOLATION,150 - SEXUAL OFFENDER REGISTRATION VIOLATION,,RAINIER AVE S & S GRAND ST,,SEATTLE,WA,98144,,47.5868725,-122.3046662,02/21/2019 01:34:42 AM,02/21/2019 01:35:55 AM,POINT (-122.3046662 47.5868725),17,Wednesday,Other Sexual Offense
901805669,C18031943,07/18/2018 05:30:01 PM,"111 - ASSAULT, OTHER WEAPONS","111 - ASSAULT, OTHER WEAPONS",,28000 Block 177TH AVE SE,,KENT,WA,98042,,47.3501324,-122.10617,01/17/2019 07:26:33 PM,02/21/2019 01:12:44 AM,POINT (-122.10617 47.3501324),17,Wednesday,Assault
901800157,C18032091,07/19/2018 12:10:11 AM,144 - INDECENT LIBERTIES,144 - INDECENT LIBERTIES,,9600 Block 16TH AVE SW,,SEATTLE,WA,98106,,47.5158568,-122.3556874,01/17/2019 06:59:21 PM,02/21/2019 12:20:22 AM,POINT (-122.3556874 47.5158568),0,Thursday,Other Sexual Offense
907646650,C18040853,07/19/2018 08:00:28 AM,184 - FORGERY,184 - FORGERY,,6000 Block MAIN ST SW,,LAKEWOOD,WA,98499,,47.1617105,-122.5188288,02/21/2019 12:11:00 AM,02/21/2019 12:12:11 AM,POINT (-122.5188288 47.1617105),8,Thursday,Property Crime
907649627,C18032984,07/19/2018 10:44:08 AM,"503 - CRIMINAL WARRANT, FELONY","503 - CRIMINAL WARRANT, FELONY",,700 Block 196 AV E,,BONNEY LAKE,WA,98391,,47.2508139,-122.1664388,02/21/2019 12:32:46 AM,02/21/2019 12:33:55 AM,POINT (-122.1664388 47.2508139),10,Thursday,Other
901801995,C18032239,07/19/2018 06:00:51 PM,"300 - THEFT, VEHICLE","300 - THEFT, VEHICLE",,11300 Block 4TH AVE SW,,SEATTLE,WA,98146,,47.5013871,-122.3386525,01/17/2019 07:10:14 PM,02/21/2019 12:36:06 AM,POINT (-122.3386525 47.5013871),18,Thursday,Theft of Vehicle
906269015,C19005246,01/01/2015 12:00:00 AM,"147 - SEX OFFENSE, NSC","147 - SEX OFFENSE, NSC",,15600 Block SE 148TH ST,,RENTON,WA,98059,,47.4703538,-122.1304499,02/07/2019 11:44:49 PM,02/15/2019 09:10:35 PM,POINT (-122.1304499 47.4703538),0,Thursday,Other Sexual Offense
